S.No.,State,2015-16,2016-17,2017-18
1,Andhra Pradesh,493.69,533.43,543.49
2,Assam,276.59,289.58,455.13
3,Bihar,132.79,129.71,53.68
4,Chattisgarh,169.99,208.57,257.99
5,Gujarat,728.01,755.44,789.52
6,Haryana,285.62,313.3,374.58
7,Himachal Pradesh,140.16,141.15,158.97
8,Jammu & Kashmir,238.17,260.58,290.68
9,Jharkhand,70.88,106.2,91.54
10,Karnataka,369.17,344.57,373.48
11,Kerala,138.9,123.82,160.41
12,Madhya Pradesh,417.93,466.98,488.51
13,Maharashtra,190.09,234.1,221.77
14,Manipur,200.19,113.19,102
15,Meghalaya,8.76,8.58,9.01
16,Odisha,130.97,147.26,154.85
17,Punjab,513.68,534.38,551.44
18,Rajasthan,203.55,233.11,192.56
19,Tamil Nadu,589.14,670.51,688.34
20,Telangana,269.89,284.07,276.02
21,Uttar Pradesh,371.87,448.39,471.02
22,Uttarakhand,255.53,253.98,281.41
23,West Bengal,252.36,266.1,278.41
